id;login;mdp;role
1;Cambodia Rustic Dynamic;blue;Borders
2;superstructure Fantastic Wooden Pants;Checking Account navigating project;one-to-one North Dakota
3;functionalities;Unbranded Granite Keyboard;Fantastic Sports azure
4;instruction set;withdrawal firewall Isle of Man;National
5;Avon;Somali Shilling Tennessee;context-sensitive copying Salad
6;Checking Account Response Maryland;French Guiana withdrawal;Chair
7;real-time Clothing;Israel Clothing navigate;integrate Keyboard Cambridgeshire
8;PCI Idaho;invoice sticky Usability;Infrastructure bandwidth Ergonomic
9;Bedfordshire;Auto Loan Account;Home Loan Account South Dakota
10;attitude-oriented Infrastructure;Specialist Product incremental;Unbranded collaborative
